mesh2,x,y,elevation,land.area,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
362257,122.9375,24.45833333,39.3,17931194,235.24,43.81666667,29.21916461,3789.107654,311.68,161.72,149.96,248,236.31,277.11,191.33,2316.696,238.408,131.624,18.63270969,926.164,612.608,754.504,695.428
362306,123.8125,24.04166667,20.52631579,12594416,240.4210526,46.21052632,30.6883886,3674.462443,318.6315789,168.0526316,150.5789474,261.0526316,197.7236842,280.9078947,197.7236842,1805.284211,197.5894737,121.7526316,18.14351109,729.5315789,495.2210526,660.7473684,495.2210526
362324,123.5625,24.20833333,25.15,199129,233,52.08333333,32.55208333,3853.412498,314,154,160,260.25,211.5,275.25,188,2112.5,251.3,129.1,20.79034148,873.4,560,756.9,592.9
362327,123.9375,24.20833333,5.546153846,4801966,236.6923077,53.56410257,32.59976548,3902.16903,319.6923077,155.3846154,164.3076923,262.5,205.7115385,279.3846154,191.1538462,1922.669231,226.3846154,122.0384615,20.68535321,794.8538462,517.4461538,710.3230769,519.3846154
362335,123.6875,24.29166667,106.8777778,35299545,229.6222222,53.33518518,33.05452418,3891.448409,311.6666667,150.3111111,161.3555556,257.3222222,207.2833333,272.15,184.15,2352.66,286.8911111,137.3066667,21.89230163,983.0066667,630.0866667,879.7,660.5111111
362336,123.8125,24.29166667,168.7804878,88173854,225.597561,53.73069106,32.97588424,3961.892122,308.5121951,145.5853659,162.9268293,253.7256098,197.7621951,268.8262195,179.2682927,2799.691463,359.2987805,142.6341463,28.0945269,1257.640244,703.997561,1079.443902,730.3487805
362337,123.9375,24.29166667,36.35675676,24322779,232.9459459,55.78378378,33.4792671,3977.174158,317.027027,150.4054054,166.6216216,260.3108108,191.7364865,276.4189189,186.5202703,2334.016216,299.4972973,132.6918919,25.3841335,1006.932432,594.8405405,901.6216216,597.9540541
362345,123.6875,24.375,42.65909091,6832551,232.4090909,54.70075758,33.89873001,3851.358911,314.2272727,152.8636364,161.3636364,259.2840909,206.7386364,274.5454545,187.3977273,2407.468182,285.4863636,148.4863636,19.87550283,984.9045455,656.1590909,899.4636364,675.5590909
362346,123.8125,24.375,163.287234,99907336,226.3191489,54.20212766,33.39998884,3935.498405,308.9255319,146.6489362,162.2765957,255.0638298,194.6994681,269.2845745,180.2978723,2760.46383,339.55,147.2244681,25.06345548,1203.904255,709.2308511,1064.668085,730.9521277
362347,123.9375,24.375,98.10444444,37827789,229,54.45925926,32.8525414,4019.989881,312.3777778,146.6666667,165.7111111,261.2666667,184.9166667,272.9388889,182.0833333,2451.282222,300.18,140.8044444,24.12620798,1047.035556,626.3888889,969.6266667,630.9555556
362350,123.0625,24.45833333,46.3,10823946,235.4,43.34444444,28.97355207,3801.186505,311.4,161.8,149.6,248,236.25,277.2166667,191.1833333,2333.78,239.42,130.9133333,19.01636756,936.3266667,613.76,756.0133333,701.1266667
362356,123.8125,24.45833333,15.88181818,6150460,234.1818182,52.28030303,32.70427864,3845.732454,315.4545455,155.6363636,159.8181818,259.9318182,208.5,276.4772727,189.4545455,2098.009091,231.0545455,138.8545455,17.53502761,840.3454545,574.5,776.4454545,588.2
362420,124.0625,24.20833333,4.572727273,8010979,237,52.6969697,32.45511579,3888.836304,319.0909091,156.7272727,162.3636364,264.7954545,191.7727273,279.7045455,191.7727273,1935.581818,243.0818182,119.8454545,25.64676567,841.8454545,499,769.0090909,499
362430,124.0625,24.29166667,7.911111111,4892594,236.1111111,51.98148148,31.88454984,3943.619453,318.2222222,155.2222222,163,264.8888889,190.2777778,279.5,190.2777778,1926.488889,230.1777778,118.5555556,23.12813063,814.7777778,491.3,751.6777778,491.3
362431,124.1875,24.29166667,2.725,1322609,239,47.97916667,30.46160952,3984.182369,317.75,160.25,157.5,271.8125,192.9375,283.1875,192.9375,2052.025,244.625,122.8,23.9032342,876.025,522.425,809.05,522.425
362440,124.0625,24.375,9.46,3124262,235.4,51.88333333,31.8029842,3961.507717,317.9,154.8,163.1,263.75,189.5,279.15,189.5,2013.85,234.25,122.08,22.12883833,844.5,518.31,771.4,518.31
362441,124.1875,24.375,33.94565217,93637186,235.2173913,49.29891304,31.51078446,3900.404201,314.75,158.3043478,156.4456522,264.7798913,191.2472826,278.1603261,189.8478261,2170.077174,255.8271739,129.5684783,23.56945255,925.7065217,560.3793478,847.9467391,563.4336957
362442,124.3125,24.375,9.833333333,2059008,236.5,47.375,30.66372248,3852.571879,315.1666667,160.6666667,154.5,264.0833333,191.6666667,278.875,191.6666667,2108.583333,244.4833333,129.1666667,22.78294093,889.5833333,538.8833333,811.7333333,538.8833333
362450,124.0625,24.45833333,36.27916667,13705178,232.875,51.375,31.55797312,3982.061898,315.4583333,152.6666667,162.7916667,263.5,212.9375,276.5729167,186.5208333,2209.220833,250.0375,128.3041667,21.53957554,913.1583333,574.825,838.2166667,590.6083333
362451,124.1875,24.45833333,105.3852941,65335836,230.3970588,48.16666667,30.66039081,3940.31241,310.6323529,153.5882353,157.0441176,261.875,186.8051471,273.6470588,184.4742647,2261.997059,256.7176471,133.1,23.29326119,957.9647059,579.8338235,875.4823529,581.5867647
362452,124.3125,24.45833333,37.84666667,8593373,233.8666667,46.52222222,29.78411377,3910.993186,314.2666667,158.0666667,156.2,265.0833333,200.7166667,276.7333333,188.2333333,2155.093333,239.6933333,133.4133333,21.77050943,900.8533333,557.9066667,811.3466667,563.0266667
362461,124.1875,24.54166667,13.4,584457,235,46.08333333,29.54059829,3911.947512,316,160,156,268.5,216.5,278.25,189.75,2117,226.9,132.8,20.51387755,869.1,546.8,785.4,557.8
362462,124.3125,24.54166667,50.96857143,24809288,233.4285714,44.84047619,29.04177235,3889.828792,313.2857143,158.8857143,154.4,266.5714286,213.3428571,276.1142857,188.0928571,2110.028571,233.0228571,132.4114286,20.84767391,878.8714286,557.7285714,792.1457143,567.0342857
362472,124.3125,24.625,27.45333333,7721480,235.3333333,44.25555556,29.08983698,3838.252495,314.2,162.0666667,152.1333333,268.05,211.7666667,277.5666667,190.6833333,2056.126667,229.7,127.9733333,20.88508025,853.3733333,548.9533333,768.88,554.3533333
362475,124.6875,24.625,9.014285714,16012720,237.3809524,48.04761905,30.22710083,3870.121319,320.7142857,161.7619048,158.952381,258.1904762,213.202381,279.8690476,192.2261905,1981.409524,232.2238095,124.4714286,24.13119982,849.7619048,511.2857143,721.6571429,526.4809524
363151,131.1875,24.45833333,15.3,1135112,239,55,35,3526,313,158,155,273,206,281,193,1782.5,198,100,24,533,316,462.5,324
364123,141.4375,24.20833333,284.7333333,3489471,246.3333333,46.5,36.83333333,2888.666667,302.6666667,177.8333333,124.8333333,277.5,206.1666667,277.5,206.1666667,1367,173.3333333,53.66666667,33.66666667,472.6666667,207,472.6666667,207
372405,124.6875,24.70833333,7.433333333,4332277,237.3333333,47.44444444,29.87787028,3890.732849,320.3333333,161.5555556,158.7777778,258.2222222,216.8888889,280.1388889,192.0277778,1976.166667,230.2444444,124.2222222,23.77852834,845.3888889,511.3666667,718.8222222,525.1222222
372415,124.6875,24.79166667,4.4,1773856,236,45.6,29.23076923,3847.774808,318,162,156,257,217.9,278.75,191.65,1937.12,219.5,125.22,22.26164929,818.96,510,703.44,522.64
372501,125.1875,24.70833333,19.73333333,1892094,234.3333333,48.77777778,30.54922257,3903.7507,316.3333333,156.6666667,159.6666667,255.1666667,215.25,276.9166667,188.5833333,1883.366667,221.8333333,114.5,20.23987864,766.3333333,498.9333333,687.4,517.7333333
372502,125.3125,24.70833333,27.92439024,36626721,233.4146341,49.74186992,31.19861539,3917.202369,315.4634146,156.0243902,159.4390244,254.6280488,209.8170732,276.304878,187.6341463,1965.607317,237.1073171,126.2829268,21.34845361,816.602439,531.7,732.0853659,541.6804878
372503,125.4375,24.70833333,45.07272727,18606989,232.3636364,48.53030303,30.56417932,3913.226566,314.4090909,155.6363636,158.7727273,253.8068182,210.2954545,275.4545455,186.875,1946.963636,232.5181818,125.9136364,20.67874919,804.9863636,532.8772727,722.7454545,537.2181818
372511,125.1875,24.79166667,22.68275862,23421289,231.5517241,51.93390805,31.55911122,3985.484013,316.137931,151.5862069,164.5517241,252.9655172,216.6293103,275.4137931,185.2327586,1832.6,206.8862069,118.8413793,20.11551201,753.5586207,495.7862069,658.0793103,509.8689655
372512,125.3125,24.79166667,33.5875,76107528,232.65,49.60729167,31.0689319,3946.753118,314.875,155.2,159.675,254.4375,207.2375,276.046875,186.696875,1988.16,241.62125,126.78125,21.78213286,827.77125,535.1025,747.245,544.84625
