"species","japanese.name","family","order","mesh2","latitude","longitude","Category","pre-1949","1950-1959","1960-1969","1970-1979","1980-1989","1990-1999","2000-2009","2010-","unknown"
"sp1","JP1","family1","order1",362441,24.375,124.1875,"nat.",,,,,,,,1,
"sp1","JP1","family1","order1",362451,24.45833333,124.1875,"nat.",,,,,,1,,,1
"sp1","JP1","family1","order1",362475,24.625,124.6875,"nat.",,,,,,,1,,1
"sp1","JP1","family1","order1",372405,24.70833333,124.6875,"nat.",,,,,,1,,,
"sp1","JP1","family1","order1",372501,24.70833333,125.1875,"nat.",,,,,,,,,1
"sp1","JP1","family1","order1",372502,24.70833333,125.3125,"nat.",,,,,,3,1,,3
"sp1","JP1","family1","order1",372503,24.70833333,125.4375,"nat.",,,,,,2,5,,7
"sp1","JP1","family1","order1",372511,24.79166667,125.1875,"nat.",,,,,,,1,,1
"sp1","JP1","family1","order1",372512,24.79166667,125.3125,"nat.",,,,,,6,6,,7
"sp1","JP1","family1","order1",372513,24.79166667,125.4375,"nat.",,,,,,1,,,1
"sp1","JP1","family1","order1",372522,24.875,125.3125,"nat.",,,,,,,2,,
"sp1","JP1","family1","order1",372531,24.95833333,125.1875,"nat.",,,,,,,2,,2
"sp1","JP1","family1","order1",392646,26.375,126.8125,"nat.",,,,,,,,,1
"sp1","JP1","family1","order1",392705,26.04166667,127.6875,"nat.",,,,,,,,1,
"sp1","JP1","family1","order1",392715,26.125,127.6875,"nat.",,,,,,,,5,
"sp1","JP1","family1","order1",392716,26.125,127.8125,"nat.",,,,,,,1,6,3
"sp1","JP1","family1","order1",392722,26.20833333,127.3125,"nat.",,,,,,,,1,1
"sp1","JP1","family1","order1",392725,26.20833333,127.6875,"nat.",,,,,,,1,7,4
"sp1","JP1","family1","order1",392726,26.20833333,127.8125,"nat.",,,,,2,,,5,4
"sp1","JP1","family1","order1",392727,26.20833333,127.9375,"nat.",,,,,,,,1,1
"sp1","JP1","family1","order1",392735,26.29166667,127.6875,"nat.",,,,,,,1,,12
"sp1","JP1","family1","order1",392736,26.29166667,127.8125,"nat.",,,,,1,1,2,3,35
"sp1","JP1","family1","order1",392737,26.29166667,127.9375,"nat.",,,,,,,,3,5
"sp1","JP1","family1","order1",392741,26.375,127.1875,"nat.",,,,,,,,,1
"sp1","JP1","family1","order1",392745,26.375,127.6875,"nat.",,,,,,,,3,
"sp1","JP1","family1","order1",392746,26.375,127.8125,"nat.",,,,,1,3,13,20,31
"sp1","JP1","family1","order1",392747,26.375,127.9375,"nat.",,,,3,,,,6,4
"sp1","JP1","family1","order1",392755,26.45833333,127.6875,"nat.",,,,,,,,3,
"sp1","JP1","family1","order1",392756,26.45833333,127.8125,"nat.",,,,,,,1,17,1
"sp1","JP1","family1","order1",392757,26.45833333,127.9375,"nat.",,,,,,2,216,4,37
"sp1","JP1","family1","order1",392767,26.54166667,127.9375,"nat.",,,,,4,1,,9,11
"sp1","JP1","family1","order1",392776,26.625,127.8125,"nat.",,,,3,1,,,1,5
"sp1","JP1","family1","order1",392777,26.625,127.9375,"nat.",,,,,1,1,21,5,23
"sp1","JP1","family1","order1",392860,26.54166667,128.0625,"nat.",,,,,,,,5,
"sp1","JP1","family1","order1",392861,26.54166667,128.1875,"nat.",,,,,,,,1,
"sp1","JP1","family1","order1",392870,26.625,128.0625,"nat.",,,,4,2,2,7,9,201
"sp1","JP1","family1","order1",392871,26.625,128.1875,"nat.",,,,,2,4,45,2,111
"sp1","JP1","family1","order1",392872,26.625,128.3125,"nat.",,,,,,,,1,
"sp1","JP1","family1","order1",402706,26.70833333,127.8125,"nat.",,,,,,,,,1
"sp1","JP1","family1","order1",402707,26.70833333,127.9375,"nat.",,,,2,,,1,5,1
"sp1","JP1","family1","order1",402727,26.875,127.9375,"nat.",,,,,,1,,,
"sp1","JP1","family1","order1",402737,26.95833333,127.9375,"nat.",,,,,,3,,,3
"sp1","JP1","family1","order1",402747,27.04166667,127.9375,"nat.",,,,,,,,,1
"sp1","JP1","family1","order1",402800,26.70833333,128.0625,"nat.",,,,,,,17,3,3
"sp1","JP1","family1","order1",402801,26.70833333,128.1875,"nat.",,,,,,3,45,,24
"sp1","JP1","family1","order1",402802,26.70833333,128.3125,"nat.",,,,,,2,38,1,30
"sp1","JP1","family1","order1",402811,26.79166667,128.1875,"nat.",,,,,2,2,44,2,7
"sp1","JP1","family1","order1",402812,26.79166667,128.3125,"nat.",,,,,3,1,31,1,27
"sp1","JP1","family1","order1",402822,26.875,128.3125,"nat.",,,,,1,1,15,2,3
"sp1","JP1","family1","order1",402843,27.04166667,128.4375,"nat.",,,,,,,,2,
"sp2","JP2","family2","order2",392636,26.29166667,126.8125,"nat.",,,,,,2,,,1
"sp2","JP2","family2","order2",392646,26.375,126.8125,"nat.",,,,,,4,,,2
"sp2","JP2","family2","order2",392705,26.04166667,127.6875,"nat.",,,,,,,,1,
"sp2","JP2","family2","order2",392715,26.125,127.6875,"nat.",,,,,,2,,3,
"sp2","JP2","family2","order2",392716,26.125,127.8125,"nat.",,,,,,,,6,1
"sp2","JP2","family2","order2",392725,26.20833333,127.6875,"nat.",,,,,,3,,1,1
"sp2","JP2","family2","order2",392726,26.20833333,127.8125,"nat.",,,,,2,1,,1,6
"sp2","JP2","family2","order2",392736,26.29166667,127.8125,"nat.",,,,,1,1,1,,26
"sp2","JP2","family2","order2",392737,26.29166667,127.9375,"nat.",,,,,,8,,2,
"sp2","JP2","family2","order2",392746,26.375,127.8125,"nat.",,,,1,1,4,6,13,20
"sp2","JP2","family2","order2",392747,26.375,127.9375,"nat.",,,,,,,,1,
"sp2","JP2","family2","order2",392755,26.45833333,127.6875,"nat.",,,,,,,,1,
"sp2","JP2","family2","order2",392756,26.45833333,127.8125,"nat.",,,,,,,,15,1
